DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2015,1369,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2016,1369,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2017,1370,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2018,1370,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2019,1370,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2008,4000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2009,5000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2010,4000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2011,4000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2012,4000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2013,4155,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2014,4155,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2015,4155,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2016,4155,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2017,4155,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2018,4155,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CY,2019,4155,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2008,1000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2009,1000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2010,1000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2011,1000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2012,1000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2013,801,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2014,801,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2015,801,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2016,801,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2017,801,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2018,943,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CY,2019,943,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2008,19000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2009,21000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2010,32000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2011,27000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2012,29000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2013,23950,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2014,26745,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2015,29277,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2016,29013,
