DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2006,103.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2007,101.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2008,99.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2009,88.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2010,90.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2011,96.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2012,92.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2013,85.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2014,89.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2015,93.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2016,91.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2017,95.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2018,95.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2019,94.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,BG,2020,89.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2000,94.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2001,95.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2002,96.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2003,105.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2004,98.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2006,104.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2007,109.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2008,115.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2009,111.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2010,108.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2011,106.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2012,101.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2013,87.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2014,89.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2015,91.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2016,98.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2017,102.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2018,102.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2019,102.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CY,2020,88.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2000,92.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2001,94.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2002,95.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2003,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2004,101.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2006,102.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2007,102.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2008,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2009,94.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2010,100.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2011,96.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2012,95.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2013,95.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2014,91.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2015,92.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2016,93.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2017,94.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2018,95.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2019,93.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,CZ,2020,88.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2000,98.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2001,101.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2002,99.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2003,100.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2004,100.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2006,103.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2007,98.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2008,99.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2009,93.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2010,98.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2011,92.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2012,93.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2013,95.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2014,91.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2015,92.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2016,92.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2017,92.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2018,90.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2019,88.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DE,2020,81.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2000,98.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2001,101.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2002,99.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2003,105.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2004,102.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2006,107.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2007,104.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2008,102.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2009,97.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2010,102.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2011,95.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2012,91.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2013,91.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2014,86.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2015,86.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2016,88.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2017,89.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2018,89.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2019,86.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,DK,2020,78.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2000,93.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2001,95.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2002,95.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2003,98.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2004,99.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2006,100.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2007,98.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2008,99.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2009,93.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2010,96.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2011,93.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2012,92.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2013,91.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2014,88.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2015,89.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2016,90.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2017,90.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2018,89.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2019,88.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EA19,2020,80.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2000,90.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2001,94.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2002,91.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2003,100.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2004,101.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2006,97.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2007,109.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2008,106.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2009,94.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2010,110.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2011,111.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2012,107.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2013,118.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2014,113.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2015,105.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2016,117.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2017,112.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2018,120.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2019,93.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EE,2020,85.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2000,89.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2001,92.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2002,94.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2003,96.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2004,97.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2006,99.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2007,100.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2008,100.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2009,97.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2010,89.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2011,88.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2012,87.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2013,77.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2014,76.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2015,77.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2016,76.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2017,76.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2018,74.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2019,73.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EL,2020,65.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2000,84.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2001,86.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2002,89.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2003,92.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2004,97.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2006,100.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2007,102.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2008,98.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2009,90.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2010,90.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2011,90.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2012,90.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2013,85.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2014,83.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2015,86.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2016,87.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2017,91.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2018,91.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2019,88.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,ES,2020,77.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2000,93.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2001,95.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2002,95.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2003,98.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2004,99.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2006,100.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2007,99.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2008,99.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2009,93.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2010,97.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2011,94.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2012,93.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2013,92.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2014,88.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2015,90.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2016,91.1,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2017,92.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2018,92.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2019,90.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,EU27_2020,2020,82.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2000,94.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2001,97.2,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2002,102.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2003,107.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2004,109.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2005,100.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2006,109.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2007,107.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2008,102.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2009,96.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2010,105.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2011,101.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2012,98.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2013,95.3,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2014,97.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2015,92.9,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2016,96.0,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2017,95.6,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2018,97.5,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2019,95.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FI,2020,88.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FR,2000,91.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FR,2001,94.8,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FR,2002,95.4,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FR,2003,97.7,
ESTAT:SDG_07_10(1.0),21/12/21 23:00:00,A,I05,FR,2004,99.4,
